1.00	1.9294286448	3.6571564943	3.8031823763	5.5643958330	
1.10	1.7905775308	3.2528464295	3.4030512317	4.8978079142	
1.20	1.6830398240	2.9414042935	3.0962093490	4.3859442969	
1.30	1.5978399128	2.6953756512	2.8552018063	3.9828708686	
1.40	1.5291702751	2.4968105288	2.6620751700	3.6584940075	
1.50	1.4731630349	2.3335942646	2.5047077187	3.3924505900	
1.60	1.4271774261	2.1973281960	2.3746895491	3.1705817134	
1.70	1.3893678789	2.0820538719	2.2660462951	2.9828127733	
1.80	1.3584117335	1.9834570821	2.1744427755	2.8218334607	
1.90	1.3333314909	1.8983554054	2.0966703908	2.6822501965	
2.00	1.3133753335	1.8243592779	2.0303081381	2.5600272201	
2.10	1.2979349579	1.7596422394	1.9734932384	2.4521087888	
2.20	1.2864885296	1.7027823891	1.9247630199	2.3561585621	
2.30	1.2785612352	1.6526510565	1.8829444171	2.2703759846	
2.40	1.2736988875	1.6083339512	1.8470761129	2.1933646837	
2.50	1.2714515823	1.5690750163	1.8163535612	2.1240364327	
2.60	1.2713653602	1.5342365008	1.7900903393	2.0615398218	
2.70	1.2729803441	1.5032707631	1.7676912369	2.0052061829	
2.80	1.2758341485	1.4757005890	1.7486338059	1.9545075643	
2.90	1.2794695634	1.4511056542	1.7324559049	1.9090229415	
3.00	1.2834456546	1.4291133122	1.7187473770	1.8684098362	
3.10	1.2873515153	1.4093923807	1.7071444476	1.8323793123	
3.20	1.2908216860	1.3916487964	1.6973257688	1.8006730354	
3.30	1.2935519730	1.3756224414	1.6890093434	1.7730421328	
3.40	1.2953136331	1.3610845523	1.6819498134	1.7492286385	
3.50	1.2959633123	1.3478353633	1.6759357873	1.7289514121	
3.60	1.2954459912	1.3357017802	1.6707870549	1.7118988441	
3.70	1.2937891528	1.3245349933	1.6663516491	1.6977299668	
3.80	1.2910884090	1.3142080214	1.6625027919	1.6860837476	
3.90	1.2874871524	1.3046132241	1.6591358054	1.6765941252	
4.00	1.2831543003	1.2956598467	1.6561650810	1.6689068996	
4.10	1.2782641483	1.2872716637	1.6535211973	1.6626946439	
4.20	1.2729810199	1.2793847804	1.6511482583	1.6576671153	
4.30	1.2674496058	1.2719456348	1.6490015018	1.6535763927	
4.40	1.2617904593	1.2649092291	1.6470452046	1.6502173563	
4.50	1.2560993674	1.2582375967	1.6452508902	1.6474248215	
4.60	1.2504491881	1.2518985035	1.6435958271	1.6450687369	
4.70	1.2448929618	1.2458643664	1.6420617964	1.6430486104	
4.80	1.2394674467	1.2401113682	1.6406341003	1.6412879683	
4.90	1.2341965523	1.2346187440	1.6393007664	1.6397293040	
5.00	1.2290943922	1.2293682121	1.6380519377	1.6383297598	
5.10	1.2241678446	1.2243435251	1.6368793925	1.6370575684	
5.20	1.2194186098	1.2195301169	1.6357761813	1.6358892267	
5.30	1.2148448090	1.2149148279	1.6347363496	1.6348073060	
5.40	1.2104421910	1.2104856892	1.6337547332	1.6337987963	
5.50	1.2062050185	1.2062317533	1.6328267960	1.6328538674	
5.60	1.2021267035	1.2021429604	1.6319485177	1.6319649730	
5.70	1.1982002506	1.1982100310	1.6311163024	1.6311261985	
5.80	1.1944185566	1.1944243782	1.6303269108	1.6303327991	
5.90	1.1907746106	1.1907780391	1.6295774078	1.6295808743	
6.00	1.1872616081	1.1872636058	1.6288651215	1.6288671407	
6.10	1.1838730371	1.1838741888	1.6281876103	1.6281887740	
6.20	1.1806026967	1.1806033536	1.6275426360	1.6275432995	
6.30	1.1774447266	1.1774450974	1.6269281412	1.6269285156	
6.40	1.1743935995	1.1743938065	1.6263422317	1.6263424407	
6.50	1.1714441129	1.1714442274	1.6257831591	1.6257832746	
6.60	1.1685913756	1.1685914382	1.6252493081	1.6252493712	
6.70	1.1658307894	1.1658308232	1.6247391830	1.6247392171	
6.80	1.1631580328	1.1631580509	1.6242513982	1.6242514165	
6.90	1.1605690422	1.1605690518	1.6237846678	1.6237846775	
7.00	1.1580599949	1.1580600000	1.6233377968	1.6233378019	
7.10	1.1556272922	1.1556272948	1.6229096746	1.6229096772	
7.20	1.1532675448	1.1532675462	1.6224992668	1.6224992682	
7.30	1.1509775573	1.1509775580	1.6221056093	1.6221056100	
7.40	1.1487543161	1.1487543165	1.6217278028	1.6217278031	
7.50	1.1465949762	1.1465949763	1.6213650074	1.6213650076	
7.60	1.1444968494	1.1444968495	1.6210164386	1.6210164387	
7.70	1.1424573951	1.1424573951	1.6206813620	1.6206813620	
7.80	1.1404742091	1.1404742091	1.6203590901	1.6203590901	
7.90	1.1385450162	1.1385450162	1.6200489787	1.6200489787	
8.00	1.1366676602	1.1366676602	1.6197504236	1.6197504236	
8.10	1.1348400974	1.1348400974	1.6194628575	1.6194628575	
8.20	1.1330603890	1.1330603890	1.6191857487	1.6191857487	
8.30	1.1313266946	1.1313266946	1.6189185947	1.6189185947	
8.40	1.1296372664	1.1296372664	1.6186609250	1.6186609250	
8.50	1.1279904437	1.1279904437	1.6184122956	1.6184122956	
8.60	1.1263846456	1.1263846456	1.6181722890	1.6181722890	
8.70	1.1248183688	1.1248183688	1.6179405118	1.6179405118	
